id,title,artist,danceability,decade,Track URI,Genre
SODHUNH1311AFEC0DF,You Are Not Alone,Michael Jackson,0.639336,1990s,http://dbpedia.org/resource/You_Are_Not_Alone,Electronic HipHop
SOCJHGN14FA3E025B1,Blue (Da Ba Dee),Eiffel 65,0.750901,1990s,http://dbpedia.org/resource/Blue_(Da_Ba_Dee),Electronic
SOFVLXX1315CD4D3B5,Blaze Of Glory,Bon Jovi,0.546517,1990s,http://dbpedia.org/resource/Blaze_of_Glory_(Jon_Bon_Jovi_song),Rock Stage&Screen
SOKTKML144F5071419,Always,Bon Jovi,0.373308,1990s,http://dbpedia.org/resource/Always_(Bon_Jovi_song),Rock
SOEWXLQ137687FC84B,Boombastic,Shaggy,0.866098,1990s,http://dbpedia.org/resource/Boombastic_(song),Electronic HipHop Reggae
SOLXTFL150DBEE4674,Genie in a Bottle,Christina Aguilera,0.394002,1990s,http://dbpedia.org/resource/Genie_in_a_Bottle,Electronic Pop
SOJVLNK12A6701FA24,Take A Bow,Madonna,0.567693,1990s,http://dbpedia.org/resource/Take_a_Bow_(Madonna_song),Electronic
SOKVLCI145FC8A2804,Tubthumping,Chumbawamba,0.596072,1990s,http://dbpedia.org/resource/Tubthumping,Electronic Rock
SOAFUPP144B9E79E27,Please Forgive Me,Bryan Adams,0.529258,1990s,http://dbpedia.org/resource/Please_Forgive_Me,Rock
SOBRKHO1312FDFD588,To Be With You,Mr. Big,0.69476,1990s,http://dbpedia.org/resource/To_Be_with_You,Rock
SOCFEJW146169421AD,Truly Madly Deeply,Savage Garden,0.555463,1990s,http://dbpedia.org/resource/Truly_Madly_Deeply,Electronic Pop
SOYPDDT14517F45C03,Un-Break My Heart,Toni Braxton,0.637879,1990s,http://dbpedia.org/resource/Un-Break_My_Heart,Funk/Soul Pop
SOROUUM1462514A743,Losing My Religion,R.E.M.,0.69442,1990s,http://dbpedia.org/resource/Losing_My_Religion,Rock
SOLZZMO1460B8BA2D5,Mr. Vain,Culture Beat,0.673206,1990s,http://dbpedia.org/resource/Mr._Vain,Electronic
SOKGBMH14FE246BAC0,Missing,Everything but the Girl,0.726374,1990s,http://dbpedia.org/resource/Missing_(Everything_but_the_Girl_song),Electronic Pop
SOWOSMS150D4B36186,Joyride,Roxette,0.48617,1990s,http://dbpedia.org/resource/Joyride_(Roxette_song),Rock Pop
SOIJMYY14608CC7376,Jump,Kris Kross,0.757533,1990s,http://dbpedia.org/resource/Jump_(Kris_Kross_song),HipHop
SODJLSU13723E1A5A0,Frozen,Madonna,0.405253,1990s,http://dbpedia.org/resource/Frozen_(Madonna_song),Pop
SOEEQXN14373D9C9DE,Cotton Eye Joe,Rednex,0.735252,1990s,http://dbpedia.org/resource/Cotton_Eye_Joe_(Rednex_song),Electronic
SOOMZKB14F75C7EEAB,I'm Too Sexy,Right Said Fred,0.65477,1990s,http://dbpedia.org/resource/I%27m_Too_Sexy,Electronic Pop
SOYWNXF137335D0A46,Kiss Me,Sixpence None the Richer,0.539031,1990s,http://dbpedia.org/resource/Kiss_Me_(Sixpence_None_the_Richer_song),Rock
SODGSBA146088AB870,Here Comes the Hotstepper,Ini Kamoze,0.883807,1990s,http://dbpedia.org/resource/Here_Comes_the_Hotstepper,HipHop
SOHJHGV1456077B2DC,Sadeness - Part I,Enigma,0.606526,1990s,http://dbpedia.org/resource/Sadeness_(Part_I),Electronic
SOGPLPW145E2666D7D,Under The Bridge,Red Hot Chili Peppers,0.374838,1990s,http://dbpedia.org/resource/Under_the_Bridge,Rock
SOQTYEI14311061FD1,More Than Words,Extreme,0.636853,1990s,http://dbpedia.org/resource/More_Than_Words,Rock
SOHALTQ13D8392F702,Rhythm Is a Dancer,Snap!,0.792353,1990s,http://dbpedia.org/resource/Rhythm_Is_a_Dancer,Electronic Pop
SOBZKSJ142C97E0A36,Vision of Love,Mariah Carey,0.260263,1990s,http://dbpedia.org/resource/Vision_of_Love,Electronic Pop
SOHGFAN13739993BE3,Ironic,Alanis Morissette,0.295423,1990s,http://dbpedia.org/resource/Ironic_(song),Rock Pop
SOZKTHJ144AE0D0D8D,Wonderwall,Oasis,0.401859,1990s,http://dbpedia.org/resource/Wonderwall_(song),Rock
SOFDJGS12AF72ACACB,Can You Feel The Love Tonight,Elton John,0.31207,1990s,http://dbpedia.org/resource/Can_You_Feel_the_Love_Tonight,Rock Pop Stage&Screen
SOCMEJM12AF72A48D0,Dreamlover,Mariah Carey,0.69312,1990s,http://dbpedia.org/resource/Dreamlover_(song),Electronic Pop
SOICBTD13F165B467B,Scatman (ski-ba-bop-ba-dop-bop),Scatman John,0.632116,1990s,http://dbpedia.org/resource/Scatman_(Ski-Ba-Bop-Ba-Dop-Bop),Electronic
SOETNDS135CB172314,Mmm Mmm Mmm Mmm,Crash Test Dummies,0.567176,1990s,http://dbpedia.org/resource/Mmm_Mmm_Mmm_Mmm,Rock
SOQTYFQ14373B6AC3C,The River Of Dreams,Billy Joel,0.619846,1990s,http://dbpedia.org/resource/The_River_of_Dreams,Rock Pop
