id,title,artist,danceability,decade,Track URI,Genre,recommended,recommendations
SOBCKPM12A6D4FD13C,Love Will Keep Us Together,Captain & Tennille,0.663883,1970s,http://dbpedia.org/resource/Love_Will_Keep_Us_Together,Pop,How Deep Is Your Love,Dancing Queen;Tie a Yellow Ribbon 'Round the Ole Oak Tree;Bridge Over Troubled Water;I Beg Your Pardon (I Never Promised You a Rose Garden);How Deep Is Your Love;Sos;Too Much Heaven;Knock Three Times;The Way We Were;
SOQMTCK13FC0C327E6,Lady Marmalade,Patti LaBelle,0.486601,1970s,http://dbpedia.org/resource/Lady_Marmalade,Funk/Soul,Kiss and Say Goodbye,"Stayin' Alive;Rock Your Baby;I Will Survive;Le Freak;Born to Be Alive;Ring My Bell;Three Times A Lady;Kiss and Say Goodbye;Shame, Shame, Shame;Superstition;"
SOPFJHS1371EC41B0C,December 1963 (Oh What A Night),The Four Seasons,0.538329,1970s,"http://dbpedia.org/resource/December,_1963_(Oh,_What_a_Night)",Rock Pop,Goodbye Yellow Brick Road,"In The Summertime;Waterloo;If You Leave Me Now;Fernando;Crocodile Rock;You're so Vain;It's a Heartache;Sugar Baby Love;Kiss You All Over;Fox On The Run;Joy To The World;Take A Chance On Me;Money, Money, Money;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;"
SOULZYB136F0D52CBF,Knock Three Times,Tony Orlando & Dawn,0.783274,1970s,http://dbpedia.org/resource/Knock_Three_Times,Pop,Sos,Dancing Queen;Tie a Yellow Ribbon 'Round the Ole Oak Tree;Bridge Over Troubled Water;I Beg Your Pardon (I Never Promised You a Rose Garden);How Deep Is Your Love;Sos;Too Much Heaven;Love Will Keep Us Together;The Way We Were;
SOWDWQJ144BED93336,Take A Chance On Me,ABBA,0.685815,1970s,http://dbpedia.org/resource/Take_a_Chance_on_Me,Rock Pop,We Don't Talk Anymore,"In The Summertime;Waterloo;If You Leave Me Now;Fernando;Crocodile Rock;You're so Vain;It's a Heartache;Sugar Baby Love;Kiss You All Over;Fox On The Run;Joy To The World;December 1963 (Oh What A Night);Money, Money, Money;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;"
SORJYIC1315CD45FF0,"Money, Money, Money",ABBA,0.787412,1970s,"http://dbpedia.org/resource/Money,_Money,_Money",Rock Pop,December 1963 (Oh What A Night),In The Summertime;Waterloo;If You Leave Me Now;Fernando;Crocodile Rock;You're so Vain;It's a Heartache;Sugar Baby Love;Kiss You All Over;Fox On The Run;Joy To The World;December 1963 (Oh What A Night);Take A Chance On Me;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;
SOQFDIC144C2F76132,We Don't Talk Anymore,Cliff Richard,0.701864,1970s,http://dbpedia.org/resource/We_Don%27t_Talk_Anymore_(Cliff_Richard_song),Rock Pop,(They Long To Be) Close To You,"In The Summertime;Waterloo;If You Leave Me Now;Fernando;Crocodile Rock;You're so Vain;It's a Heartache;Sugar Baby Love;Kiss You All Over;Fox On The Run;Joy To The World;December 1963 (Oh What A Night);Take A Chance On Me;Money, Money, Money;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;"
SOFIDLX146563A24BF,"Shame, Shame, Shame",Shirley & Company,0.691173,1970s,"http://dbpedia.org/resource/Shame,_Shame,_Shame_(Shirley_%26_Company_song)",Funk/Soul,Rock Your Baby,Stayin' Alive;Rock Your Baby;I Will Survive;Le Freak;Born to Be Alive;Ring My Bell;Three Times A Lady;Kiss and Say Goodbye;Lady Marmalade;Superstition;
SOCSGPP12B55270274,SHADOW DANCING,Andy Gibb,0.742951,1970s,http://dbpedia.org/resource/Shadow_Dancing_(song),Electronic,Ma Baker,Hot Stuff;I Feel Love;Pop Muzik;Daddy Cool;Ma Baker;
SOJCDXD150DC185419,Raindrops Keep Falling on My Head,B.J. Thomas,0.717981,1970s,http://dbpedia.org/resource/Raindrops_Keep_Fallin%27_on_My_Head,Rock Pop,December 1963 (Oh What A Night),"In The Summertime;Waterloo;If You Leave Me Now;Fernando;Crocodile Rock;You're so Vain;It's a Heartache;Sugar Baby Love;Kiss You All Over;Fox On The Run;Joy To The World;December 1963 (Oh What A Night);Take A Chance On Me;Money, Money, Money;We Don't Talk Anymore;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;"
SOGEZEF137722215B6,Goodbye Yellow Brick Road,Elton John,0.563423,1970s,http://dbpedia.org/resource/Goodbye_Yellow_Brick_Road_(song),Rock Pop,(They Long To Be) Close To You,"In The Summertime;Waterloo;If You Leave Me Now;Fernando;Crocodile Rock;You're so Vain;It's a Heartache;Sugar Baby Love;Kiss You All Over;Fox On The Run;Joy To The World;December 1963 (Oh What A Night);Take A Chance On Me;Money, Money, Money;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Beautiful Sunday;(They Long To Be) Close To You;"
SONYLTV12AB0183629,Beautiful Sunday,Daniel Boone,0.663209,1970s,http://dbpedia.org/resource/Beautiful_Sunday_(song),Rock Pop,If You Leave Me Now,"In The Summertime;Waterloo;If You Leave Me Now;Fernando;Crocodile Rock;You're so Vain;It's a Heartache;Sugar Baby Love;Kiss You All Over;Fox On The Run;Joy To The World;December 1963 (Oh What A Night);Take A Chance On Me;Money, Money, Money;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;(They Long To Be) Close To You;"
SONCIQU12AB0180563,Superstition,Stevie Wonder,0.625494,1970s,http://dbpedia.org/resource/Superstition_(song),Funk/Soul,Kiss and Say Goodbye,"Stayin' Alive;Rock Your Baby;I Will Survive;Le Freak;Born to Be Alive;Ring My Bell;Three Times A Lady;Kiss and Say Goodbye;Lady Marmalade;Shame, Shame, Shame;"
SOEIUCI144B3081718,The Way We Were,Barbra Streisand,0.220301,1970s,http://dbpedia.org/resource/The_Way_We_Were_(song),Pop,Sos,Dancing Queen;Tie a Yellow Ribbon 'Round the Ole Oak Tree;Bridge Over Troubled Water;I Beg Your Pardon (I Never Promised You a Rose Garden);How Deep Is Your Love;Sos;Too Much Heaven;Love Will Keep Us Together;Knock Three Times;
